p1,p2,label,f_label
Q9NWS6,Q96BJ3,1,PPI
P11912,Q8IY49,1,PPI
Q9UBB9,Q96ES7,1,PPI
Q86UT8,Q9UHB4,1,PPI
Q9UHE5,Q3KNW5,1,PPI
Q15041,Q6N075,1,PPI
O95273,Q96C28,1,PPI
Q7Z2K6,Q8TD46,1,PPI
P78346,Q969H6,1,PPI
Q96LB3,Q8WYA0,1,PPI
P61968,Q96JM7,1,PPI
Q13520,Q07326,1,PPI
P25788,P60900,1,PPI
Q96T49,P40937,1,PPI
P98170,O43353,1,PPI
Q96HJ5,Q9Y6I9,1,PPI
Q9NRD5,O75031,1,PPI
P12314,Q9NS64,1,PPI
P21964,O95279,1,PPI
Q6UY14,Q86TG1,1,PPI
P13010,P12956,1,PPI
Q17RB8,Q9UHR6,1,PPI
O60341,Q9H9H4,1,PPI
P31937,Q5QGT7,1,PPI
Q9NSD9,Q9Y285,1,PPI
P24593,P56880,1,PPI
Q9NZD1,Q8N386,1,PPI
Q15555,Q9GZT8,1,PPI
P80188,O96006,1,PPI
Q9UEU0,P11912,1,PPI
Q6UY14,Q969U6,1,PPI
Q6KB66,Q2M2I5,1,PPI
O43688,Q8N5M9,1,PPI
Q96CE8,Q9NSU2,1,PPI
P14373,Q8IYR0,1,PPI
Q8TAP6,P26196,1,PPI
P20618,Q16740,1,PPI
P07510,Q7Z3S9,1,PPI
Q8WWY3,Q3KQV3,1,PPI
Q9P0N9,Q9NR46,1,PPI
Q99816,Q8N0S2,1,PPI
Q15645,Q9BSH5,1,PPI
O14524,Q9BXN2,1,PPI
O00444,P59910,1,PPI
P49447,Q9UKR5,1,PPI
O15496,Q86UR1,1,PPI
Q9HBJ8,Q9Y385,1,PPI
O15371,Q8NHQ1,1,PPI
Q9BQD3,P06753,1,PPI
Q9NRN7,Q5JST6,1,PPI
Q6ICB0,Q9NZS2,1,PPI
Q9Y5Z9,Q15125,1,PPI
P62306,P62304,1,PPI
P11215,O95870,1,PPI
P53567,O15212,1,PPI
Q9UBB9,O75564,1,PPI
Q6AZZ1,Q9BRJ7,1,PPI
P17568,O95980,1,PPI
Q9BS40,Q4G0Z9,1,PPI
Q9NZD8,P36406,1,PPI
Q9UHD9,Q8IW45,1,PPI
Q9NZD8,Q96JB2,1,PPI
Q8TDT2,Q9BQA9,1,PPI
Q8TC57,Q8IUQ4,1,PPI
P21964,Q96G79,1,PPI
Q9NP66,Q96LR2,1,PPI
Q96BW1,Q8N668,1,PPI
Q99675,Q9UIQ6,1,PPI
P63279,Q8WYJ6,1,PPI
Q8TED1,P56851,1,PPI
Q9Y342,Q2HXU8,1,PPI
O75031,O95872,1,PPI
P25786,P14373,1,PPI
O94874,Q96JB5,1,PPI
Q86T03,Q5EBL4,1,PPI
Q8N682,Q9GZW8,1,PPI
Q8TED1,Q69YG0,1,PPI
P25789,Q9UBB9,1,PPI
Q9NY72,Q8TDV0,1,PPI
P24593,Q96JW4,1,PPI
O43752,Q9NY72,1,PPI
P35268,O00560,1,PPI
P19878,P14598,1,PPI
Q8IWZ5,Q8NBS9,1,PPI
Q8IXL7,Q58EX7,1,PPI
Q9BY50,Q9NSU2,1,PPI
O00471,Q3B7T1,1,PPI
P25786,P21673,1,PPI
Q92624,Q96NZ8,1,PPI
Q9H7M9,P78383,1,PPI
Q13868,P0C264,1,PPI
Q8TBB1,O95273,1,PPI
Q96CN5,Q8N998,1,PPI
P84090,P27449,1,PPI
O95971,Q969L2,1,PPI
P38484,Q6UX98,1,PPI
Q9BSW7,Q8NA61,1,PPI
Q9UKR5,Q6UWN5,1,PPI
O75604,Q86U10,1,PPI
P02786,Q96HA4,1,PPI
Q5JX71,Q9UHX3,1,IDPPI
P02647,Q96DZ9,1,IDPPI
Q1ED39,Q96CW1,1,IDPPI
Q8IYX7,Q13470,1,IDPPI
Q9BW66,Q96MY7,1,IDPPI
Q9NQX5,Q5BVD1,1,IDPPI
O43759,Q86VR2,1,IDPPI
Q9BQ89,O75031,1,IDPPI
Q9BRK4,Q92993,1,IDPPI
Q5JX71,Q86W74,1,IDPPI
Q68CJ9,Q8WW34,1,IDPPI
Q6AZZ1,Q52LG2,1,IDPPI
Q99685,O00559,1,IDPPI
Q8WXW3,Q03989,1,IDPPI
P31431,P21145,1,IDPPI
P21673,Q6ZNM6,1,IDPPI
Q6P499,Q9NQG1,1,IDPPI
Q8N5M9,Q6UWW9,1,IDPPI
Q9UKT9,Q8N8B7,1,IDPPI
Q96IK0,Q12983,1,IDPPI
Q8TF50,Q96KB5,1,IDPPI
Q16512,A6NEM1,1,IDPPI
Q9NQT4,Q9UKT9,1,IDPPI
Q99471,Q96LM5,1,IDPPI
O14530,Q8N720,1,IDPPI
Q9UL52,P50222,1,IDPPI
Q96EQ8,Q99932,1,IDPPI
Q96IW7,Q96A56,1,IDPPI
Q9Y3P8,Q9NV12,1,IDPPI
Q9UJW9,Q99608,1,IDPPI
Q15742,P47897,1,IDPPI
Q96DF8,Q9UBU9,1,IDPPI
Q9NX04,Q99081,1,IDPPI
Q96PG8,Q8TF42,1,IDPPI
O43482,Q5JUK2,1,IDPPI
Q13137,Q14D33,1,IDPPI
Q96IK5,Q9Y5U2,1,IDPPI
Q9NUH8,Q7Z769,1,IDPPI
Q8WVZ9,Q8IXK0,1,IDPPI
Q9NQQ7,Q8N912,1,IDPPI
P11912,P46695,1,IDPPI
Q8WVR3,A8MQ03,1,IDPPI
P36021,O43561,1,IDPPI
Q9NVS9,Q9H400,1,IDPPI
A8MQ03,Q8IYR0,1,IDPPI
Q14416,Q7Z7G2,1,IDPPI
Q8IYX8,Q9UBU8,1,IDPPI
O95429,Q8IXY8,1,IDPPI
Q13526,Q15025,1,IDPPI
Q7Z7G2,Q5VZY2,1,IDPPI
Q9Y2K6,P59942,1,IDPPI
Q86VR2,Q96EZ8,1,IDPPI
P20807,Q14119,1,IDPPI
P23921,Q8N720,1,IDPPI
Q9Y5R4,Q9UJW9,1,IDPPI
P01189,Q8IVS8,1,IDPPI
Q14145,Q6P1L5,1,IDPPI
Q5JX71,B2RUZ4,1,IDPPI
Q68CJ9,Q96GQ5,1,IDPPI
Q9BUZ4,Q9C0D7,1,IDPPI
P61925,O43663,1,IDPPI
Q9H6L4,Q00587,1,IDPPI
Q14508,Q7Z7G2,1,IDPPI
Q86VR2,Q96FZ5,1,IDPPI
Q68CQ4,Q96DT7,1,IDPPI
Q8NHQ1,Q7Z3B3,1,IDPPI
Q53EP0,Q8N801,1,IDPPI
Q15025,Q6ZUS5,1,IDPPI
Q9BXY8,Q9UK41,1,IDPPI
Q96GY0,Q9H6Z9,1,IDPPI
P50402,B7U540,1,IDPPI
P51687,Q5JUK2,1,IDPPI
Q9BT92,Q8NA61,1,IDPPI
