p1,p2,label,f_label
O95436,A0A087WZ82,1,PPI
Q12983,A0A087WZ82,1,IDPPI
Q13520,A0A087WZ82,1,PPI
Q6ZT21,A0A087WZ82,1,PPI
Q96HV5,A0A087WZ82,1,PPI
Q1MX18,A0A096LP49,1,IDPPI
Q8NHQ1,A0A096LP49,1,IDPPI
Q9NRD5,A0A096LP49,1,IDPPI
Q9Y2V7,A0A096LP49,1,IDPPI
H0YL09,A0AV02,0,IDPPI
B4DS77,A0AVF1,0,IDPPI
Q1ED39,A0AVF1,0,IDPPI
Q6NUJ2,A0AVF1,0,IDPPI
Q6ZSK4,A0AVF1,0,IDPPI
Q6UWI2,A0AVI4,0,IDPPI
Q86WR7,A0AVI4,0,IDPPI
Q8NEG2,A0AVI4,0,IDPPI
Q2M3C6,A0AVT1,0,IDPPI
A6NMD0,A0FGR8,0,IDPPI
Q15170,A0FGR9,0,IDPPI
Q53SF7,A0FGR9,0,IDPPI
O75936,A0MZ66,1,IDPPI
Q9Y2D4,A0MZ66,1,IDPPI
P32242,A0PJE2,0,IDPPI
P52945,A0PJE2,0,IDPPI
Q8N111,A0PJE2,0,IDPPI
Q92617,A0PJE2,0,IDPPI
Q96MZ4,A0PJE2,0,IDPPI
Q5T1N1,A0PJW6,0,IDPPI
O43583,A0PJX2,0,IDPPI
Q4G112,A0PJX2,0,IDPPI
Q13061,A0PJZ3,0,IDPPI
Q9UMS6,A0PJZ3,0,IDPPI
O15370,A0PK00,0,IDPPI
Q86Y26,A0PK00,0,IDPPI
O14524,A0PK11,1,PPI
Q9H7M9,A0PK11,1,PPI
P49711,A0ZSE6,0,IDPPI
Q9UGU5,A1A4S6,0,IDPPI
Q8NEA5,A1A4V9,0,IDPPI
P04554,A1A5C7,0,IDPPI
Q96B01,A1IGU5,0,IDPPI
O94992,A1KZ92,0,IDPPI
Q9UBG3,A1KZ92,0,IDPPI
Q5VWK0,A1L0T0,0,IDPPI
Q8N7R1,A1L0T0,0,IDPPI
I3L273,A1L167,0,IDPPI
P17275,A1L167,0,IDPPI
Q7Z6E9,A1L167,0,IDPPI
P60410,A1L188,0,IDPPI
Q96MY7,A1L188,0,IDPPI
O43516,A1L1A6,0,IDPPI
O75800,A1L443,1,IDPPI
O60645,A1L4K1,1,PPI
Q5T230,A1L4K1,0,IDPPI
Q5T6C5,A1L4K1,1,IDPPI
Q5U623,A1L4K1,1,IDPPI
Q6P1J9,A1L4K1,1,PPI
Q8IY31,A1L4K1,1,PPI
Q96HP4,A1L4K1,1,PPI
Q9BXY8,A1L4K1,1,IDPPI
Q9NUC0,A1L4K1,0,IDPPI
Q8NA61,A1XBS5,1,IDPPI
Q9Y3M2,A1XBS5,1,PPI
C9JC47,A1Z1Q3,0,IDPPI
Q9Y215,A1Z1Q3,0,IDPPI
H0YL09,A2A288,0,IDPPI
Q8TED1,A2A2V5,1,IDPPI
A2RU14,A2A2Y4,1,PPI
